row_index,response_id,question_id,imputed_value,imputed_label
24,42,T03,0,Neutral
56,84,T03,1,Agree
70,102,T08,1,Agree
11,24,T09,-1,Disagree
7,19,T11,-1,Disagree
24,42,T11,1,Agree
46,69,T12,1,Agree
53,81,T13,1,Agree
63,92,T13,0,Neutral
24,42,T14,2,Strongly Agree
63,92,T15,1,Agree
14,30,E01,1,Agree
21,39,E01,2,Strongly Agree
50,77,E01,1,Agree
59,87,E01,1,Agree
14,30,E02,0,Neutral
21,39,E02,1,Agree
50,77,E02,0,Neutral
59,87,E02,1,Agree
14,30,E03,-2,Strongly Disagree
21,39,E03,-2,Strongly Disagree
50,77,E03,-2,Strongly Disagree
59,87,E03,0,Neutral
14,30,E04,1,Agree
21,39,E04,2,Strongly Agree
50,77,E04,2,Strongly Agree
59,87,E04,-1,Disagree
14,30,E05,2,Strongly Agree
21,39,E05,1,Agree
50,77,E05,2,Strongly Agree
59,87,E05,2,Strongly Agree
63,92,E05,-1,Disagree
66,95,E05,1,Agree
14,30,E06,2,Strongly Agree
21,39,E06,1,Agree
50,77,E06,1,Agree
53,81,E06,0,Neutral
59,87,E06,1,Agree
14,30,E07,2,Strongly Agree
21,39,E07,1,Agree
50,77,E07,2,Strongly Agree
59,87,E07,2,Strongly Agree
14,30,E08,2,Strongly Agree
16,32,E08,2,Strongly Agree
21,39,E08,2,Strongly Agree
50,77,E08,2,Strongly Agree
59,87,E08,2,Strongly Agree
86,120,E08,-1,Disagree
14,30,E09,0,Neutral
21,39,E09,0,Neutral
50,77,E09,1,Agree
59,87,E09,0,Neutral
63,92,E09,0,Neutral
14,30,E10,2,Strongly Agree
21,39,E10,2,Strongly Agree
50,77,E10,2,Strongly Agree
59,87,E10,1,Agree
14,30,E11,2,Strongly Agree
21,39,E11,2,Strongly Agree
50,77,E11,2,Strongly Agree
59,87,E11,2,Strongly Agree
14,30,E12,2,Strongly Agree
21,39,E12,0,Neutral
50,77,E12,2,Strongly Agree
59,87,E12,1,Agree
14,30,E13,1,Agree
21,39,E13,0,Neutral
50,77,E13,1,Agree
53,81,E13,-1,Disagree
59,87,E13,1,Agree
71,103,E13,0,Neutral
14,30,E14,2,Strongly Agree
21,39,E14,2,Strongly Agree
50,77,E14,2,Strongly Agree
59,87,E14,2,Strongly Agree
14,30,E15,2,Strongly Agree
21,39,E15,2,Strongly Agree
50,77,E15,2,Strongly Agree
59,87,E15,2,Strongly Agree
14,30,S01,1,Agree
21,39,S01,2,Strongly Agree
50,77,S01,2,Strongly Agree
59,87,S01,1,Agree
64,93,S01,1,Agree
14,30,S02,1,Agree
21,39,S02,1,Agree
50,77,S02,1,Agree
59,87,S02,1,Agree
14,30,S03,1,Agree
21,39,S03,1,Agree
50,77,S03,2,Strongly Agree
59,87,S03,1,Agree
14,30,S04,2,Strongly Agree
21,39,S04,2,Strongly Agree
50,77,S04,2,Strongly Agree
59,87,S04,1,Agree
14,30,S05,2,Strongly Agree
21,39,S05,1,Agree
50,77,S05,2,Strongly Agree
59,87,S05,2,Strongly Agree
14,30,S06,2,Strongly Agree
21,39,S06,2,Strongly Agree
50,77,S06,2,Strongly Agree
59,87,S06,2,Strongly Agree
14,30,S07,2,Strongly Agree
21,39,S07,2,Strongly Agree
50,77,S07,2,Strongly Agree
59,87,S07,2,Strongly Agree
84,118,S07,2,Strongly Agree
11,24,S08,0,Neutral
14,30,S08,1,Agree
21,39,S08,0,Neutral
50,77,S08,1,Agree
59,87,S08,2,Strongly Agree
14,30,S09,2,Strongly Agree
21,39,S09,1,Agree
50,77,S09,2,Strongly Agree
59,87,S09,2,Strongly Agree
64,93,S09,1,Agree
89,125,S09,0,Neutral
14,30,S10,1,Agree
21,39,S10,2,Strongly Agree
22,40,S10,1,Agree
50,77,S10,1,Agree
59,87,S10,2,Strongly Agree
71,103,S10,1,Agree
86,120,S10,1,Agree
14,30,S11,2,Strongly Agree
21,39,S11,2,Strongly Agree
50,77,S11,2,Strongly Agree
59,87,S11,2,Strongly Agree
14,30,S12,2,Strongly Agree
21,39,S12,1,Agree
50,77,S12,1,Agree
59,87,S12,1,Agree
89,125,S12,-1,Disagree
14,30,S13,1,Agree
21,39,S13,1,Agree
50,77,S13,1,Agree
59,87,S13,1,Agree
11,24,S14,2,Strongly Agree
14,30,S14,1,Agree
21,39,S14,1,Agree
50,77,S14,2,Strongly Agree
59,87,S14,2,Strongly Agree
70,102,S14,1,Agree
89,125,S14,2,Strongly Agree
1,12,S15,1,Agree
14,30,S15,1,Agree
21,39,S15,1,Agree
50,77,S15,1,Agree
59,87,S15,1,Agree
14,30,V01,2,Strongly Agree
21,39,V01,2,Strongly Agree
50,77,V01,2,Strongly Agree
51,79,V01,2,Strongly Agree
59,87,V01,2,Strongly Agree
86,120,V01,0,Neutral
14,30,V02,2,Strongly Agree
21,39,V02,2,Strongly Agree
50,77,V02,1,Agree
51,79,V02,1,Agree
59,87,V02,2,Strongly Agree
89,125,V02,0,Neutral
14,30,V03,1,Agree
21,39,V03,1,Agree
50,77,V03,2,Strongly Agree
51,79,V03,1,Agree
59,87,V03,1,Agree
14,30,V04,2,Strongly Agree
21,39,V04,2,Strongly Agree
50,77,V04,2,Strongly Agree
51,79,V04,2,Strongly Agree
59,87,V04,2,Strongly Agree
14,30,V05,2,Strongly Agree
21,39,V05,2,Strongly Agree
50,77,V05,2,Strongly Agree
51,79,V05,1,Agree
59,87,V05,2,Strongly Agree
14,30,V06,1,Agree
21,39,V06,2,Strongly Agree
22,40,V06,2,Strongly Agree
50,77,V06,2,Strongly Agree
51,79,V06,1,Agree
59,87,V06,2,Strongly Agree
88,123,V06,1,Agree
14,30,V07,2,Strongly Agree
21,39,V07,2,Strongly Agree
50,77,V07,2,Strongly Agree
51,79,V07,1,Agree
59,87,V07,2,Strongly Agree
88,123,V07,1,Agree
14,30,V08,2,Strongly Agree
21,39,V08,2,Strongly Agree
50,77,V08,1,Agree
51,79,V08,1,Agree
59,87,V08,2,Strongly Agree
88,123,V08,1,Agree
14,30,V09,2,Strongly Agree
21,39,V09,2,Strongly Agree
50,77,V09,2,Strongly Agree
51,79,V09,2,Strongly Agree
59,87,V09,2,Strongly Agree
88,123,V09,1,Agree
14,30,V10,1,Agree
21,39,V10,1,Agree
50,77,V10,1,Agree
51,79,V10,0,Neutral
59,87,V10,1,Agree
88,123,V10,0,Neutral
14,30,V11,2,Strongly Agree
21,39,V11,1,Agree
50,77,V11,1,Agree
51,79,V11,2,Strongly Agree
59,87,V11,1,Agree
86,120,V11,-1,Disagree
88,123,V11,0,Neutral
14,30,V12,1,Agree
21,39,V12,1,Agree
50,77,V12,2,Strongly Agree
51,79,V12,0,Neutral
59,87,V12,2,Strongly Agree
66,95,V12,2,Strongly Agree
88,123,V12,0,Neutral
14,30,V13,2,Strongly Agree
21,39,V13,2,Strongly Agree
50,77,V13,2,Strongly Agree
51,79,V13,2,Strongly Agree
59,87,V13,2,Strongly Agree
88,123,V13,1,Agree
14,30,V14,2,Strongly Agree
21,39,V14,2,Strongly Agree
50,77,V14,2,Strongly Agree
51,79,V14,1,Agree
59,87,V14,2,Strongly Agree
88,123,V14,1,Agree
14,30,V15,2,Strongly Agree
21,39,V15,2,Strongly Agree
50,77,V15,2,Strongly Agree
51,79,V15,2,Strongly Agree
59,87,V15,2,Strongly Agree
88,123,V15,1,Agree
